Country,Year,Region,Type,Energy consumption (in Exajoules)
Middle East,2001,Middle East,Biofuel,0.0
Africa,2001,Africa,Biofuel,0.0
Australia,2001,Asia Pacific,Biofuel,0.0
China,2001,Asia Pacific,Biofuel,0.0
India,2001,Asia Pacific,Biofuel,0.0
Indonesia,2001,Asia Pacific,Biofuel,0.0
South Korea,2001,Asia Pacific,Biofuel,0.0
Thailand,2001,Asia Pacific,Biofuel,0.0
Other Asia Pacific,2001,Asia Pacific,Biofuel,0.0
Canada,2002,North America,Biofuel,0.005557954545454546
Mexico,2002,North America,Biofuel,0.0031222511115756
US,2002,North America,Biofuel,0.16906485795865306
Argentina,2002,S. & Cent. America,Biofuel,0.0
Brazil,2002,S. & Cent. America,Biofuel,0.24674196913542196
Colombia,2002,S. & Cent. America,Biofuel,0.0
Other S. & Cent. America,2002,S. & Cent. America,Biofuel,0.03470599389048802
Austria,2002,Europe ,Biofuel,0.0008457438695306607
Belgium,2002,Europe ,Biofuel,0.0
Finland,2002,Europe ,Biofuel,2.68e-05
France,2002,Europe ,Biofuel,0.013967747320353205
Germany,2002,Europe ,Biofuel,0.020348220531654426
Italy,2002,Europe ,Biofuel,0.0
Netherlands,2002,Europe ,Biofuel,0.0
Poland,2002,Europe ,Biofuel,0.0
Portugal,2002,Europe ,Biofuel,0.0
Spain,2002,Europe ,Biofuel,0.005767471273589732
Sweden,2002,Europe ,Biofuel,0.0
United Kingdom,2002,Europe ,Biofuel,6.511791622668074e-05
Other Europe,2002,Europe ,Biofuel,0.0027465740910541047
CIS,2002,CIS,Biofuel,0.0
Middle East,2002,Middle East,Biofuel,0.00042199197981954715
Africa,2002,Africa,Biofuel,0.0017672284293325593
Australia,2002,Asia Pacific,Biofuel,0.0
China,2002,Asia Pacific,Biofuel,0.006175505050505051
India,2002,Asia Pacific,Biofuel,0.030787429797773262
Indonesia,2002,Asia Pacific,Biofuel,0.0024228303335228807
South Korea,2002,Asia Pacific,Biofuel,0.0
Thailand,2002,Asia Pacific,Biofuel,0.0
Other Asia Pacific,2002,Asia Pacific,Biofuel,0.00015191182935871386
Canada,2003,North America,Biofuel,0.00605199494949495
Mexico,2003,North America,Biofuel,0.003081725299984131
US,2003,North America,Biofuel,0.2293683081936765
Argentina,2003,S. & Cent. America,Biofuel,0.0
Brazil,2003,S. & Cent. America,Biofuel,0.23452512360072586
Colombia,2003,S. & Cent. America,Biofuel,0.0
Other S. & Cent. America,2003,S. & Cent. America,Biofuel,0.035253658330919514
Austria,2003,Europe ,Biofuel,0.0008776807961729281
Belgium,2003,Europe ,Biofuel,0.0
Finland,2003,Europe ,Biofuel,0.0001608
France,2003,Europe ,Biofuel,0.012834532638731909
Germany,2003,Europe ,Biofuel,0.029155955751745486
Italy,2003,Europe ,Biofuel,0.0
Netherlands,2003,Europe ,Biofuel,0.0
Poland,2003,Europe ,Biofuel,0.0011792044982910158
Portugal,2003,Europe ,Biofuel,0.0
Spain,2003,Europe ,Biofuel,0.007949419950195727
Sweden,2003,Europe ,Biofuel,0.0
United Kingdom,2003,Europe ,Biofuel,0.0006837381203801478
Other Europe,2003,Europe ,Biofuel,0.002608029000378866
CIS,2003,CIS,Biofuel,0.0
Middle East,2003,Middle East,Biofuel,0.0004315696461795007
Africa,2003,Africa,Biofuel,0.0019487571324082094
Australia,2003,Asia Pacific,Biofuel,0.0
China,2003,Asia Pacific,Biofuel,0.017044393939393943
India,2003,Asia Pacific,Biofuel,0.02867438376173732
Indonesia,2003,Asia Pacific,Biofuel,0.002883324532109441
South Korea,2003,Asia Pacific,Biofuel,0.0
Thailand,2003,Asia Pacific,Biofuel,0.0
Other Asia Pacific,2003,Asia Pacific,Biofuel,0.0011885660529760429
Canada,2004,North America,Biofuel,0.00606857575757576
Mexico,2004,North America,Biofuel,0.003143978030664907
US,2004,North America,Biofuel,0.2895359645150229
Argentina,2004,S. & Cent. America,Biofuel,0.0
Brazil,2004,S. & Cent. America,Biofuel,0.2614915753297502
Colombia,2004,S. & Cent. America,Biofuel,0.0
Other S. & Cent. America,2004,S. & Cent. America,Biofuel,0.0341426347730351
Austria,2004,Europe ,Biofuel,0.0008947474874077108
Belgium,2004,Europe ,Biofuel,0.0
Finland,2004,Europe ,Biofuel,0.00018759999999999998
France,2004,Europe ,Biofuel,0.013997439147690926
Germany,2004,Europe ,Biofuel,0.038863366324139545
Italy,2004,Europe ,Biofuel,0.00991365882447659
Netherlands,2004,Europe ,Biofuel,0.0
Poland,2004,Europe ,Biofuel,0.0005628181976318358
Portugal,2004,Europe ,Biofuel,0.0
Spain,2004,Europe ,Biofuel,0.007325583530143154
Sweden,2004,Europe ,Biofuel,0.0
